TargetB,ID,TargetD,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemPctVeterans,DemMedIncome
0,31343,,1,7,0,3,15,15,12.71,,25,101,9,26,54,4,4,23,A,0,34,71,F,H,49000,46,33666
0,31365,,1,1,1,1,20,20,20,20,17,17,11,16,14,5,7,6,F,0,47,,F,U,37000,28,0
0,31394,,4,15,0,5,5,5,5.27,,16,67,12,31,52,5,5,21,S,1,47,79,M,U,51300,27,37990
0,31405,,3,4,3,3,15,9,8,9,15,44,10,27,32,3,10,12,E,1,36,,F,U,57500,30,39513
1,31425,16,2,18,0,11,9,12,4.89,,16,126,13,32,74,6,6,32,S,1,41,58,M,U,67100,0,0
0,31446,,2,2,1,1,20,15,15,10,16,24,11,21,19,5,9,8,N,0,50,50,M,U,41800,25,0
1,31461,26,8,17,5,11,50,19.75,17.53,20.2,18,88,15,35,67,6,17,25,S,1,49,41,F,H,75200,32,63159
0,31463,,3,4,1,1,35,26.67,28.75,35,15,32,14,29,29,6,13,11,A,0,50,,F,U,41900,40,0
0,31489,,1,22,0,10,10,10,8.64,,26,104,9,29,68,4,4,26,A,1,50,,M,U,41200,13,36451
0,31491,,2,12,2,6,19,19,10.5,19,20,126,8,24,39,4,12,15,A,0,47,77,M,U,41200,29,0
0,31496,,1,2,0,0,20,20,15,,16,31,11,24,22,5,5,9,A,0,46,75,M,U,53100,25,44167
0,31555,,1,8,0,5,20,20,20.38,,22,112,14,32,66,6,6,28,A,0,30,69,M,H,44800,42,26605
1,31616,50,4,5,2,2,7,6.75,6.6,6,22,32,13,30,28,6,14,12,A,0,27,47,F,H,55500,44,42797
0,31685,,3,30,1,15,10,10.67,3.83,10,19,128,12,33,78,5,15,32,A,1,28,71,F,H,54200,41,54679
0,31702,,1,6,1,6,15,15,9.33,15,21,99,10,23,52,4,9,21,A,1,49,63,F,H,67600,33,48490
1,33284,20,5,10,4,5,50,25,22.5,18.75,19,41,13,32,39,6,16,15,A,1,22,67,M,H,69600,41,48490
1,31746,6,5,9,1,2,5,9,8.33,5,25,45,12,34,41,5,16,16,S,1,39,69,M,H,57600,30,62576
1,31735,19,2,2,2,2,17,11,11,11,21,29,10,22,22,4,9,8,A,0,34,,F,H,88100,41,62576
1,31778,25,2,9,0,3,12,12,20.11,,19,93,11,30,60,4,4,21,A,0,35,54,M,H,98600,43,50000
0,31773,,2,2,1,1,15,10,10,15,17,20,13,19,18,6,9,7,N,0,39,62,M,H,75800,48,50000
0,32812,,10,18,6,8,5,6.3,5.94,6.33,16,68,14,34,58,6,16,21,S,1,24,57,U,U,71400,37,0
1,31852,26,1,5,0,1,21,21,15.2,,25,67,11,32,50,6,6,21,A,0,12,49,F,H,98500,37,54217
1,31879,13,5,13,4,8,6,10.6,8.92,10.75,15,73,14,35,57,6,16,22,S,1,39,67,M,H,79000,46,50055
0,31916,,12,17,7,8,5,4,3.82,3.86,15,45,15,34,41,6,17,17,S,1,35,,U,U,92400,44,0
0,33186,,4,12,2,6,5,11.25,13.25,17.5,15,78,12,31,59,6,16,23,S,1,27,,U,U,151300,40,0
1,31977,28,3,6,2,5,22,22.33,18.5,22.5,20,77,15,32,54,6,14,20,A,1,34,70,F,H,151300,35,92425
1,31959,20,0,1,0,0,25,0,25,,19,19,10,10,12,4,4,4,F,0,34,63,M,H,154800,44,92425
0,32007,,3,10,2,7,13,9.67,7,10.5,20,86,13,33,60,6,15,22,S,1,23,,F,U,68000,45,0
1,12474,10,3,14,1,5,6,13.33,8,10,18,79,24,38,60,4,11,16,S,1,40,74,F,H,73900,38,48418
0,32079,,1,1,1,1,15,15,15,15,24,24,7,17,16,3,7,6,N,0,38,,F,H,60300,28,39655
1,32096,16,2,2,2,2,16,13,13,13,24,29,10,23,22,4,10,9,A,1,50,52,M,H,35100,30,30758
0,32581,,5,10,2,4,7,5.4,5.2,5,18,77,14,34,49,6,15,19,A,0,28,79,F,U,47500,46,0
0,14899,,9,36,7,17,10,8,6.94,7.71,15,129,24,42,108,7,18,35,S,1,31,78,F,H,45000,0,0
0,32224,,2,28,2,15,3,11,7.57,11,15,126,12,30,78,5,13,30,S,1,28,79,F,H,73000,42,43156
0,1396,,5,24,3,12,12,17.4,14.67,15.67,17,112,16,35,92,6,16,34,S,1,17,49,M,H,73000,38,43156
1,32198,9,4,4,3,3,10,7.5,7.5,6.67,17,29,14,25,24,6,12,10,A,1,23,53,F,H,114600,58,43156
0,32210,,1,8,0,3,50,50,31,,26,69,12,33,54,5,5,21,A,1,26,82,M,U,77100,47,0
0,32241,,4,8,2,4,10,12.5,8.13,12.5,19,44,13,33,38,6,16,16,S,1,17,39,F,H,90000,26,46736
0,32282,,2,13,2,8,15,15,9.77,15,24,113,11,32,66,6,16,29,A,1,28,51,F,H,115300,51,46736
1,32288,10,3,5,1,2,15,10.67,8,15,16,44,13,31,34,6,13,13,A,0,33,61,F,H,87500,45,46736
0,32230,,10,18,7,11,5,4.5,4.06,4.57,18,91,13,31,51,6,17,24,S,1,20,73,F,H,97200,56,46736
1,32350,20,2,12,0,7,19,18,13,,18,103,14,32,65,6,6,26,A,1,42,79,M,H,91300,51,0
1,32380,5,6,17,5,14,5,5.33,4.76,5,21,105,11,28,66,5,14,26,S,1,29,74,M,H,82500,64,46476
0,32390,,3,3,2,2,20,13.33,13.33,12.5,22,29,12,27,27,6,14,12,A,0,36,,M,U,66000,49,0
0,32393,,6,6,3,3,6,8,8,8.33,19,32,11,26,24,6,13,11,A,1,48,71,M,H,83800,54,39762
0,32441,,6,10,4,6,7,7.15,5.89,7,21,77,12,30,46,6,15,20,A,1,33,69,M,H,68700,77,40426
0,187904,,2,8,1,7,25,25,16.5,25,18,75,6,14,29,1,5,13,E,1,37,,F,U,52300,61,0
1,188170,50,2,14,2,10,10,12.5,22.79,12.5,21,112,7,15,41,2,6,19,E,1,0,,M,U,109800,0,0
1,32359,3,11,61,8,28,3,3.45,4.28,3.38,16,130,12,32,84,5,15,32,S,1,28,66,M,H,92200,51,45366
1,32475,20,3,5,2,2,20,20,16.4,20,18,40,13,35,40,6,17,16,A,0,36,,M,U,81400,44,42391
1,32485,37,3,12,0,6,25,21.67,11.67,,15,104,13,34,69,6,6,28,A,1,36,61,F,H,66300,40,42391
1,8103,12,6,14,4,7,11,13.83,12.21,15,20,80,17,35,69,6,16,27,S,1,29,73,M,H,85600,51,42391
1,32538,6,8,13,7,9,7,6,5.31,6.14,20,44,11,31,37,6,17,17,S,1,16,82,F,H,75200,33,49601
1,32527,3,9,9,6,6,3,3.44,3.44,3.67,16,35,13,31,31,6,16,14,S,1,16,59,F,U,78600,32,0
1,32523,10,3,3,2,2,10,11.67,11.67,12.5,19,29,12,27,25,6,13,11,A,0,40,57,F,U,107300,38,49601
0,32511,,2,4,1,3,25,17.5,15,25,16,77,14,29,40,6,13,18,A,0,28,,U,H,73500,56,49601
1,11494,5,6,25,4,15,5,10.83,8.4,10.75,15,77,15,23,52,2,6,14,E,1,35,32,M,U,122900,28,0
1,32552,20,3,10,2,4,14,14.33,7.5,17,25,86,12,33,54,6,16,22,A,1,35,59,F,H,122900,28,49601
1,32622,47,1,6,0,3,37,37,23.83,,18,92,13,32,62,6,6,23,A,1,45,17,M,U,53300,35,0
0,32669,,1,5,1,3,15,15,9.4,15,16,53,13,32,42,6,14,15,A,0,30,65,F,H,46700,35,41483
1,32709,15,0,8,0,1,15,0,13.25,,18,62,13,13,52,6,6,21,A,0,25,41,F,H,55600,33,45725
1,33295,11,6,11,1,4,11,7.17,5.91,11,20,73,13,32,54,6,15,20,S,1,0,,F,U,32800,0,45725
0,32753,,4,22,1,9,10,7.5,7.32,5,19,121,15,36,80,6,16,31,S,1,28,77,M,H,44800,40,38750
1,14319,19,5,10,1,1,12,12.8,10.7,14,18,40,28,49,53,6,16,16,S,1,21,71,M,H,36800,34,26487
0,32780,,2,9,0,4,27,27,19,,15,111,15,34,70,6,6,28,A,1,32,68,F,H,29400,24,26487
1,32807,5,4,9,2,4,5,6.25,5.44,5,16,57,14,32,46,6,13,16,A,0,18,64,M,H,70000,47,44152
0,30963,,2,9,0,6,15,12.5,10,,18,122,12,25,62,5,5,25,A,1,49,45,F,U,57300,30,44152
0,11952,,1,20,0,13,10,10,4.45,,6,127,18,36,86,5,5,30,A,1,30,70,M,H,47500,42,44152
1,32857,17,2,8,2,5,15,13.5,9.63,13.5,16,105,14,28,55,6,11,22,A,0,27,55,F,H,54000,38,40504
1,32843,15,1,2,0,1,15,15,15,,18,41,10,26,28,4,4,11,A,0,30,38,M,H,54600,46,40504
0,32838,,3,3,2,2,7,7.33,7.33,6,17,23,12,24,23,6,12,10,N,0,27,65,F,H,56300,41,40504
0,32841,,5,5,4,4,10,10.8,10.8,10.5,16,29,14,28,26,6,13,11,A,1,16,73,M,H,50400,30,40504
1,32880,10,2,5,2,3,15,17.5,12.2,17.5,16,53,13,32,41,6,14,15,A,0,17,57,F,H,69500,40,47318
1,32892,10,2,21,1,11,10,10,10.19,10,15,110,12,31,74,5,13,27,A,1,12,47,M,H,85200,40,47318
0,32905,,3,8,1,2,30,28.33,23.13,25,16,56,13,33,48,6,17,21,A,0,13,53,F,H,82000,31,51381
0,32914,,1,8,1,6,25,25,12.13,25,25,116,11,29,63,6,13,28,A,1,13,37,F,H,73400,38,51381
0,32911,,2,13,1,6,10,10,5.77,10,15,105,12,28,58,5,11,22,A,1,11,33,F,U,97700,38,0
1,32950,5,10,42,7,24,5,5.2,5.29,5,22,130,10,30,79,5,16,33,S,1,16,55,F,H,46500,37,45084
0,32934,,3,5,3,4,18,16.67,13,16.67,19,45,13,32,36,6,14,14,A,1,40,42,F,H,66200,40,45084
1,32972,12,6,10,4,5,10,13.33,10.4,14,18,52,13,31,37,6,15,15,S,1,18,42,F,H,81400,30,48581
1,14370,5,1,48,0,11,0,5,4.5,,18,144,31,51,113,5,5,28,A,1,16,54,F,U,63700,50,48581
0,187709,,4,7,3,6,16,13.5,11.64,13,21,51,5,13,20,1,5,8,E,1,17,,U,U,94100,36,0
0,33035,,8,12,4,6,5,5,5,5,19,44,11,33,39,6,17,17,S,1,12,34,M,H,91600,36,61047
0,33064,,3,3,1,1,7,8.67,8.67,14,16,20,13,20,19,6,9,7,N,0,24,44,M,H,120100,42,42535
1,33069,20,2,2,0,0,20,13,13,,18,32,10,23,21,4,4,8,A,0,27,29,F,H,60000,39,42535
1,31887,4,3,9,2,6,5,4.33,10.67,4,18,105,13,26,50,6,12,22,A,0,18,,M,U,67700,36,0
0,187503,,4,4,3,3,11,9,9,8.67,16,32,6,13,13,2,6,6,E,0,18,,U,U,67700,39,0
1,33135,10,4,16,2,7,11,11.25,9.81,11,16,124,14,36,76,6,17,32,S,1,21,63,F,U,75400,38,0
1,33192,10,5,16,2,9,8,6.6,6.25,6.5,17,102,12,34,66,6,17,29,A,1,27,62,F,H,67100,41,60541
0,33283,,2,2,0,0,25,17.5,17.5,,26,32,11,25,24,5,5,9,A,0,24,43,M,H,104200,44,65991
0,187208,,1,1,1,1,20,20,20,20,16,16,6,8,7,2,3,3,E,0,34,,F,U,104200,42,0
0,33314,,5,15,1,9,3,4,3.6,5,15,126,13,31,62,6,14,29,A,1,22,51,F,H,81800,49,41211
1,33356,20,1,11,0,4,3,20,14.09,,9,104,14,35,69,6,6,27,A,0,11,83,F,H,62500,33,50554
0,33344,,2,6,2,6,21,18,14.33,18,20,76,13,32,58,6,14,20,A,0,12,48,M,H,76300,33,50554
1,33355,15,4,13,1,4,15,15,12.92,15,15,105,14,36,66,6,17,25,A,1,39,,M,U,70000,32,0
1,188666,25,4,9,3,7,25,20.25,14.78,20.33,18,81,6,14,30,2,6,14,E,1,12,,M,U,71000,27,0
0,33360,,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,31,,F,U,39800,11,24167
1,33383,11,3,3,2,2,7,7.33,7.33,7.5,18,24,13,24,22,6,11,9,N,0,35,,F,H,147300,37,66839
1,33409,5,2,11,2,7,15,12.5,4.55,12.5,17,79,10,17,31,5,10,14,A,1,35,56,M,H,135200,45,66839
1,33420,25,6,41,2,18,25,20.83,12.22,20,18,128,11,33,81,5,16,32,S,1,24,55,M,H,70200,26,66839
1,33407,10,2,13,0,7,11,10.5,8.54,,19,74,13,34,57,6,6,23,S,1,24,55,M,H,70200,26,66839
1,186540,7,11,30,6,14,7,7.36,6.73,7.5,4,56,18,37,58,7,17,22,S,1,35,50,F,U,92300,28,0
0,33429,,6,11,4,6,5,4,3.55,3.5,19,45,13,33,39,6,16,16,S,1,43,26,F,H,50800,23,33977
0,33455,,1,16,0,9,16,16,9,,19,121,11,26,71,4,4,27,A,1,40,48,M,H,70200,31,57950
1,33460,25,3,3,2,2,32,15.67,15.67,18.5,24,33,12,29,28,6,14,12,A,0,24,64,M,U,138500,37,79635
1,191779,150,1,1,1,1,25,25,25,25,24,24,9,19,18,4,8,7,N,0,0,70,M,U,143200,62,79635
1,33512,19,1,2,1,1,16,16,13,16,16,21,13,20,17,6,10,8,N,0,50,63,F,H,39700,23,42726
1,33526,5,3,12,3,4,15,14.33,8.92,14.33,19,81,14,35,58,6,16,22,A,0,47,44,F,H,44000,24,31350
0,33542,,1,13,1,6,30,30,16.77,30,20,114,13,35,73,6,17,30,A,1,45,85,F,U,49500,35,0
0,33567,,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,47,,F,U,42300,37,0
0,10129,,0,6,0,2,0,0,13,,7,68,33,33,72,5,5,15,A,0,49,72,M,U,54700,36,0
0,33577,,1,1,1,1,15,15,15,15,21,21,8,15,14,3,6,5,F,0,30,75,F,H,25900,33,33575
0,190380,,2,2,2,2,38.65,38.65,38.65,38.65,15,21,14,20,19,6,9,8,N,0,31,,U,U,46400,0,0
1,33615,15,3,7,0,4,15,15,14.57,,18,90,13,32,58,6,6,24,A,1,30,65,M,H,56300,50,42862
1,55956,10,6,28,2,10,10,8.83,9.25,10,17,129,14,34,81,6,17,33,S,1,24,,F,U,162500,43,0
0,140927,,6,15,3,7,10,9.17,7.33,8.33,18,106,11,26,45,4,12,15,A,0,18,65,M,U,78400,38,0
0,33699,,9,33,7,19,4,5.22,3.39,5.14,21,130,11,30,66,6,17,33,S,1,53,59,F,U,48300,37,0
1,33717,15,3,10,2,6,15,15,10.3,15,22,77,12,32,57,6,17,23,A,1,45,34,F,U,31200,40,0
0,11737,,3,9,2,3,31,22.33,17.97,26,20,43,37,59,74,11,22,23,F,1,45,,M,U,41700,40,33164
0,33636,,2,4,0,1,20,12.5,8.75,,18,76,12,25,37,6,6,14,A,0,30,,F,H,58500,36,55167
0,44686,,2,5,2,5,16,15,12.4,15,20,69,12,30,51,4,11,16,A,0,38,41,F,H,49000,35,42213
1,33762,8,4,6,2,2,10,7.25,7.5,7,17,32,15,33,32,6,15,13,A,1,51,,F,U,34100,36,35000
1,33773,20,2,2,2,2,16,13,13,13,24,35,9,24,22,4,11,10,A,0,42,,F,H,91500,58,51004
0,190782,,1,1,1,1,15,15,15,15,24,24,7,17,15,3,7,6,N,0,24,69,M,U,69300,49,48301
0,33911,,2,7,2,6,17,16,11.14,16,20,104,13,31,58,6,15,26,A,0,34,76,M,H,105200,62,41909
0,33932,,4,14,2,6,9,9.5,7,9.5,23,67,11,33,53,5,16,21,S,1,17,37,F,H,77400,35,48524
0,33977,,2,19,1,6,10,5.5,5.84,5,18,89,15,35,65,6,15,24,S,1,21,70,F,U,46800,39,46667
1,33994,6,5,11,2,4,9,6.6,7.09,4.5,18,93,12,32,58,6,15,24,A,0,40,44,M,H,81900,38,49877
1,182144,7,12,22,8,13,7,8,7.14,7.88,15,65,15,33,52,6,17,21,S,1,20,45,F,U,55900,33,0
0,34020,,1,1,1,1,15,15,15,15,21,21,8,14,12,3,6,5,F,0,0,33,M,H,57300,0,41074
0,141349,,4,5,2,2,20,11.25,10.2,10,19,27,14,28,26,6,13,11,A,1,39,27,M,H,57300,30,41074
1,34079,5,7,10,6,7,6,5.43,4.9,5.83,17,41,13,32,35,6,16,15,S,1,27,75,F,H,80100,53,44775
1,34120,20,4,15,3,6,20,20,17.87,20,22,97,14,36,69,6,17,27,A,0,25,77,F,H,71700,36,45466
1,13452,10,3,8,2,2,10,7.67,7.63,6.5,13,21,30,37,40,8,12,12,N,0,30,77,M,H,56200,56,45466
0,34166,,4,4,3,3,15,10.25,10.25,10,21,35,12,29,27,6,14,12,A,0,36,25,M,H,74100,35,48339
0,2087,,9,15,4,5,5,6.44,6.27,5.5,15,40,26,44,62,11,20,23,A,1,39,,M,U,64900,29,0
1,34302,14,2,21,0,7,14,14,11.48,,18,126,8,17,57,3,3,23,A,1,40,73,F,U,83700,39,41005
0,34306,,2,9,1,5,16,13,9.22,10,16,88,12,31,51,5,13,20,A,0,22,57,F,H,125500,11,26117
1,34319,25,1,1,1,1,50,50,50,50,25,25,11,23,20,6,11,9,N,0,24,67,M,H,71400,38,63653
0,34328,,3,15,1,7,13,11,6.8,13,22,104,11,31,65,5,14,26,A,1,24,,F,U,62000,27,0
1,4881,10,7,13,6,8,9,10,9.23,9.83,16,45,19,37,57,6,17,17,S,1,22,23,M,U,59900,20,44390
0,7995,,3,29,1,5,10,14,12.41,20,16,88,29,51,114,6,17,28,S,1,25,,M,H,44600,33,31324
0,34417,,5,11,3,5,14,15,12.09,14.33,15,64,14,36,53,6,17,21,A,0,43,21,F,H,44300,46,37610
1,34429,15,3,13,1,8,15,15,12.54,15,15,87,12,32,50,6,15,23,A,1,47,52,M,H,48200,41,40818
0,34437,,5,16,2,7,13,11.4,7.88,11,15,67,13,34,53,6,16,22,S,1,47,42,M,H,54200,42,40818
1,34448,10,2,2,1,1,25,25,25,25,16,28,14,28,25,6,13,11,A,0,43,81,F,H,43100,35,43008
0,34450,,3,7,3,3,25,13.33,20,13.33,21,40,13,34,38,6,17,16,A,1,45,61,M,U,48600,46,43008
1,34475,20,3,5,2,4,27,24,20.4,26,21,88,15,32,55,6,15,22,A,0,46,67,M,H,69600,47,43551
1,25678,20,3,8,2,6,15,11.67,8.88,13.5,16,88,13,31,57,5,13,21,A,1,23,,M,H,72100,44,43551
0,34572,,1,3,1,2,20,20,15,20,17,44,12,30,36,6,15,15,A,0,18,35,M,H,92600,27,43865
0,34612,,2,10,2,4,25,24,21.6,24,15,64,29,50,72,6,17,22,A,1,30,,M,H,49300,56,49337
1,34600,25,3,3,0,0,30,15,15,,18,31,13,27,24,6,6,10,A,0,20,73,F,U,82000,40,49337
0,34597,,3,4,2,2,15,12.33,11.75,11,18,29,14,28,28,6,14,12,A,0,12,35,F,H,93200,33,49337
1,34591,23,8,15,5,12,15,19,19.67,19.2,15,105,14,34,69,6,16,29,A,0,18,63,M,H,83500,45,49337
1,34608,12,7,15,5,9,16,12.71,9.33,10.6,15,53,15,36,50,6,17,19,S,1,12,55,M,H,96700,28,49337
1,34632,15,5,6,3,3,10,8.2,7.5,8.67,17,28,13,26,25,6,12,10,A,1,12,62,F,H,84200,35,49337
1,34649,7,4,5,3,3,6,5.5,5.2,4.67,15,28,12,25,23,6,12,10,A,1,12,68,F,H,117100,37,65663
1,34681,21,2,9,1,5,15,18,12.22,16,18,76,13,34,57,6,16,22,A,1,12,36,F,H,114500,28,56282
0,191007,,6,22,3,12,5,5,6.23,5,5,90,23,39,63,8,16,22,S,1,18,79,F,U,89600,37,0
0,139521,,4,4,1,1,12,12,12,15,18,28,14,27,26,6,12,10,A,1,13,73,M,H,96800,29,49601
1,34735,20,1,1,1,1,15,15,15,15,15,15,7,10,11,2,4,4,E,0,21,61,F,H,83800,0,0
0,34767,,7,44,3,20,8,7.43,5.43,8,18,127,12,33,86,5,16,33,S,1,51,66,F,H,46300,34,39890
0,34797,,2,12,1,6,10,10,11.25,10,19,97,12,33,69,5,15,32,A,1,28,84,M,H,55800,38,40628
1,34800,10,5,13,3,5,15,19,13.46,18.33,24,86,7,23,48,4,12,18,A,0,28,69,F,U,75600,47,0
0,34801,,3,11,3,8,20,13.33,10.09,13.33,16,97,13,23,45,5,10,20,A,0,27,58,M,H,69800,40,42453
0,34849,,2,7,2,6,25,25,16,25,17,88,15,37,65,6,17,24,A,1,28,72,M,U,67500,37,40364
1,34836,15,2,5,1,4,15,15,15.4,15,23,51,12,23,24,6,12,13,S,1,26,,F,U,70500,42,40364
0,34853,,2,5,1,3,20,17.5,11,20,17,77,15,32,51,6,14,20,A,0,28,81,M,H,74900,37,40364
0,190025,,2,4,2,3,10,15,16.25,15,15,21,4,7,7,2,4,4,E,0,26,,F,U,70500,42,0
0,34881,,5,8,3,4,12,11.4,9.88,12,21,44,12,29,36,6,15,15,A,0,37,65,F,U,70900,52,37639
1,34883,5,7,18,4,10,5,7.29,7.33,8.25,18,104,14,33,63,6,16,27,S,1,37,67,M,H,70900,41,37639
0,34906,,2,8,1,3,25,22.5,14,25,16,101,11,25,41,4,10,13,A,0,27,67,F,H,69500,36,42475
1,34909,20,4,17,4,14,10,12.5,9.76,12.5,20,127,10,27,74,5,15,30,S,1,27,62,M,H,65400,31,42475
0,34897,,4,8,3,5,15,11.25,9,11.67,25,44,13,35,42,6,17,17,A,1,27,74,M,U,73100,39,0
1,34957,10,7,11,4,7,15,20.71,20,23.75,15,57,15,35,53,6,17,21,A,1,23,73,F,H,167500,41,67326
0,3155,,5,17,1,8,7,6.2,5.89,7,13,126,29,47,86,6,13,32,S,1,13,77,F,H,121700,45,67326
1,37304,5,4,14,3,9,10,10.5,7.64,10.67,18,105,12,31,63,5,15,27,A,1,12,58,M,H,64000,29,46394
1,35017,10,3,11,1,6,17,16.33,12.91,17,15,112,10,27,61,5,15,27,A,1,37,76,M,U,57600,46,39367
1,35328,20,3,14,0,10,18,16.67,11.64,,18,130,13,34,73,6,6,31,S,1,24,39,M,H,145400,31,68639
1,8438,12.5,2,15,1,8,12,11,9.27,12,20,105,14,34,82,5,14,27,A,1,24,49,M,H,135700,33,68639
0,35046,,5,13,2,4,7.52,6.1,5.19,6,18,53,13,32,43,6,16,17,A,0,35,,F,H,95300,35,68639
0,35055,,4,15,2,9,10,13.75,11.27,12.5,18,105,13,34,69,6,17,29,S,1,37,17,M,U,106600,39,68639
1,35043,16,3,4,2,3,17,15.67,13,16,17,44,13,30,34,6,15,15,A,1,24,54,M,H,135700,33,68639
0,35075,,5,6,2,2,6,7.8,7.5,9,18,32,13,31,31,6,15,13,S,1,30,28,F,H,51500,38,40858
0,35078,,2,6,1,5,30,30,23.33,30,18,92,13,29,50,6,14,21,A,1,35,81,M,H,63000,23,40858
1,188141,25,1,7,1,7,16,16,14.43,16,25,86,6,14,33,2,6,15,E,0,11,,U,U,57800,34,0
1,188316,10,2,10,0,4,25,17.5,13.1,,6,88,23,44,71,8,8,27,A,1,21,74,F,H,66100,29,41343
1,35101,20,4,12,3,8,31,23.25,18,24,18,115,16,35,67,6,15,28,S,1,12,78,M,H,143400,25,41343
1,35181,25,3,16,2,12,32,24,20.88,26,18,121,13,35,80,6,17,33,A,1,12,65,M,U,139500,32,0
0,35159,,4,8,2,2,10,10,9.38,10,18,44,13,32,36,6,15,15,A,1,14,48,F,H,137900,36,84410
1,130407,22,2,2,1,1,16,13,13,16,16,28,13,26,24,4,10,9,A,0,12,66,F,H,53300,55,46440
1,35267,17,4,13,2,9,20,16.25,11.85,17.5,18,92,11,31,64,4,14,24,S,1,28,80,M,H,89500,36,68443
1,35276,10,2,14,0,5,10,10,6.64,,18,128,9,23,42,3,3,16,A,1,24,80,U,U,354200,26,0
1,35316,14,4,16,2,8,14,14.5,9.94,16,17,85,14,35,68,5,15,25,A,1,26,73,F,H,84500,43,49287
1,35306,25,1,4,0,2,20,20,12.25,,17,64,12,27,43,6,6,15,A,0,26,41,F,H,83300,41,49287
1,35325,30,1,7,0,6,30,30,12.14,,15,119,10,12,48,3,3,17,E,1,26,79,M,H,83300,41,49287
0,34917,,1,1,1,1,25,25,25,25,17,17,11,16,14,5,7,6,F,0,24,,M,U,99200,38,0
1,35355,5,7,22,5,15,5,5,4.59,5,18,90,13,32,64,6,17,27,S,1,35,86,M,H,90700,42,44548
0,35365,,4,22,2,13,20,16.5,10.36,15.5,26,122,10,26,74,5,15,31,A,1,48,72,M,H,64000,35,35046
0,35370,,5,5,3,3,17,13.8,13.8,11.33,17,33,13,31,31,6,15,13,A,0,23,52,U,U,250000,23,0
0,9770,,2,13,2,7,10,20,12.08,20,9,113,32,51,81,6,15,25,S,1,24,74,F,H,86200,42,53922
0,35419,,2,7,1,4,15,13,8.71,15,17,104,11,29,51,4,11,19,A,0,16,42,F,H,76100,43,58521
0,34925,,4,10,3,6,12,10.5,8.8,11.33,21,53,13,32,44,6,16,18,A,1,12,40,M,H,96900,26,58521
1,35463,30,2,10,2,8,20,20,20,20,20,128,11,27,67,4,11,28,A,1,22,60,M,H,102800,46,53710
1,190597,12,4,26,3,16,10,10,7.04,10,15,123,13,34,78,6,16,31,S,1,27,50,F,U,73700,29,53710
1,35476,25,2,7,0,3,25,22.5,17.14,,18,52,13,34,44,6,6,18,A,1,30,61,M,H,62500,37,38082
0,35493,,1,1,1,1,20,20,20,20,18,18,10,15,12,4,6,5,F,0,17,69,F,H,83400,24,32942
1,35504,15,1,7,0,2,15,15,14,,26,55,10,31,42,5,5,17,A,1,17,48,F,U,83400,24,32942
0,35839,,8,12,4,5,10,8,8,8,16,42,14,33,35,6,16,15,A,1,28,73,F,U,70300,45,38870
1,35553,20,1,12,0,6,18,18,10.67,,26,113,10,31,71,5,5,27,A,1,16,,F,U,72600,39,0
0,35610,,2,14,0,3,10,10,7.5,,15,113,14,33,67,5,5,26,S,1,12,76,M,H,84100,28,53515
0,35617,,3,10,1,7,10,13.33,8.6,20,16,80,13,29,42,6,14,20,A,0,18,57,F,H,82800,27,47407
0,35641,,7,17,5,9,10,8.29,6.53,8,17,92,14,35,65,6,17,27,S,1,16,,F,U,82700,37,47407
0,35653,,5,6,4,4,11,8.8,9,8.5,17,33,13,28,29,6,14,12,A,0,12,43,M,H,140700,29,72702
0,687,,11,18,7,8,8,6.18,5.78,5.57,17,68,22,41,76,10,20,30,A,1,12,73,M,H,140700,29,72702
0,35704,,1,6,0,4,25,25,14.67,,15,111,12,24,55,5,5,24,A,0,17,49,F,H,76100,35,40054
1,35700,7,4,19,4,12,3,7.25,7.84,7.25,15,74,8,26,50,3,12,20,S,1,17,39,F,H,72100,29,40054
1,35728,10,2,9,1,5,24,21,11.33,24,23,79,12,33,53,6,16,23,A,0,39,49,M,H,78600,27,47917
0,6885,,5,12,3,4,20,15,17.92,18.33,8,45,29,51,78,7,18,18,A,1,17,44,F,U,74800,22,49725
1,35751,5,8,31,6,19,5,5.25,4.26,5.33,17,103,12,30,70,6,17,30,S,1,27,85,F,H,85300,49,49725
0,35771,,5,10,3,4,12,10.8,9.1,10,19,57,14,35,50,6,17,21,A,1,39,77,F,U,89400,26,64128
1,187532,15,4,6,3,5,15,15,15,15,18,33,7,14,15,2,6,6,E,1,35,,M,U,128600,33,0
0,35864,,1,4,1,2,20,20,20,20,18,67,13,32,50,6,15,19,A,0,18,47,M,H,0,31,0
0,35866,,4,6,2,3,15,12.25,10.83,7.5,19,44,13,35,39,6,17,17,A,0,26,58,M,U,65700,35,0
1,35877,5,6,7,4,5,5,4.17,4.29,3.75,18,44,12,31,35,6,15,15,A,0,21,73,F,H,53500,38,35129
